Trial,Discounted health benefit ($),Discounted income benefit ($),Total discounted benefit ($),Discounted costs ($),Benefit-cost ratio,,
Non-trial,"$132,763,607","$45,079,625","$177,843,232","$1,733,021",102.6,,
1,"$140,511,765","$29,629,979","$170,141,744","$1,646,412",103.3,,
2,"$23,619,766","$6,974,307","$30,594,073","$1,430,469",21.4,,
3,"$479,130,333","$161,824,612","$640,954,945","$2,114,603",303.1,,
4,"$228,226,668","$70,130,047","$298,356,714","$1,781,439",167.5,,"NOTE: To run model, click on cell B3, then click 'Run' or 'ctrl+alt+shift+9'"
5,"$31,491,336","$13,263,039","$44,754,375","$1,426,108",31.4,,
6,"$344,057,089","$147,245,702","$491,302,791","$4,669,405",105.2,,
7,"$112,942,050","$29,640,216","$142,582,266","$655,924",217.4,,
8,"$280,974,215","$97,213,622","$378,187,837","$1,051,087",359.8,,
9,"$438,106,224","$92,821,412","$530,927,635","$2,459,613",215.9,,"NOTE: To reset model, click 'Reset' or 'ctrl+alt+shift+0'"
10,"$142,858,649","$40,772,749","$183,631,398","$1,263,633",145.3,,
11,"$463,417,834","$54,192,889","$517,610,722","$3,283,088",157.7,,
12,"$179,285,925","$45,760,136","$225,046,061","$1,229,945",183.0,,
13,"$75,962,743","$29,686,789","$105,649,532","$3,118,503",33.9,,
14,"$414,738,204","$94,128,179","$508,866,383","$1,768,771",287.7,,
15,"$214,138,765","$51,751,769","$265,890,534","$1,926,300",138.0,,
16,"$58,705,811","$38,321,756","$97,027,567","$2,075,826",46.7,,
17,"$170,333,981","$40,862,546","$211,196,528","$2,035,983",103.7,,
18,"$142,625,975","$36,081,442","$178,707,417","$2,068,660",86.4,,
19,"$40,997,256","$22,744,163","$63,741,419","$1,468,984",43.4,,
20,"$106,114,712","$25,649,079","$131,763,791","$2,583,571",51.0,,
21,"$330,779,584","$142,414,155","$473,193,738","$3,411,245",138.7,,
22,"$28,261,212","$9,297,641","$37,558,853","$808,127",46.5,,
23,"$234,782,494","$67,075,457","$301,857,951","$3,012,786",100.2,,
24,"$90,711,826","$32,984,210","$123,696,035","$3,136,803",39.4,,
25,"$178,635,973","$36,506,350","$215,142,323","$1,466,950",146.7,,
26,"$72,791,312","$14,661,972","$87,453,285","$1,018,707",85.8,,
27,"$442,675,153","$115,686,354","$558,361,506","$1,711,789",326.2,,
28,"$162,569,743","$54,950,925","$217,520,668","$1,717,682",126.6,,
29,"$121,122,518","$44,987,629","$166,110,148","$1,991,623",83.4,,
30,"$105,750,775","$43,578,595","$149,329,370","$1,685,622",88.6,,
31,"$80,423,597","$30,856,106","$111,279,703","$1,145,002",97.2,,
32,"$48,265,638","$17,108,329","$65,373,967","$2,299,388",28.4,,
33,"$55,785,883","$11,946,820","$67,732,703","$1,293,850",52.3,,
34,"$193,198,394","$115,808,672","$309,007,066","$1,759,202",175.7,,
35,"$211,116,919","$57,898,696","$269,015,614","$2,376,330",113.2,,
